date;year;tx;tn;rhx;rhn;rs;et0;station
2001-03-23;2001;29.1;10.66;94.2;28.02;21.12;3.691603960247624;COR06
2001-03-24;2001;21.99;13.09;91.4;44.0;14.96;3.1599163963039016;COR06
2001-03-25;2001;19.18;10.66;92.2;48.06;15.22;2.512172483237638;COR06
2001-03-26;2001;18.71;8.97;96.3;52.31;9.61;1.925479895037041;COR06
2001-03-27;2001;19.7;7.77;97.6;37.8;19.03;2.587042065865624;COR06
2001-03-28;2001;20.38;7.97;98.0;39.62;19.6;2.764748930445333;COR06
2001-03-29;2001;20.52;7.64;94.7;51.63;10.33;2.1864449774032;COR06
2001-03-30;2001;19.25;7.77;95.6;60.06;11.57;1.9834270609744995;COR06
2001-03-31;2001;25.54;8.3;98.1;37.39;23.0;3.814030760783688;COR06
2001-04-01;2001;26.22;8.78;96.5;24.18;23.87;3.6961373318910433;COR06
2001-04-02;2001;23.33;6.154;94.1;32.54;23.11;3.471629375404504;COR06
2001-04-03;2001;23.26;9.38;96.7;35.78;23.67;3.4720842088575665;COR06
2001-04-04;2001;22.33;6.424;96.8;36.99;19.84;3.0678536158943825;COR06
2001-04-05;2001;23.27;11.74;89.3;51.82;12.74;2.292610458078129;COR06
2001-04-06;2001;26.48;7.98;97.6;42.1;22.92;3.5135489065257253;COR06
2001-04-07;2001;21.73;11.13;89.3;28.5;23.55;3.663388667713656;COR06
2001-04-08;2001;22.99;6.086;90.0;28.97;25.32;3.8437799487784488;COR06
2001-04-09;2001;27.22;7.98;81.0;9.43;25.77;4.655649505655976;COR06
2001-04-10;2001;28.96;6.559;95.1;20.21;25.58;4.181995526721464;COR06
2001-04-11;2001;27.69;10.93;79.4;15.83;25.78;5.009949587773916;COR06
2001-04-12;2001;24.07;7.98;83.7;23.72;26.53;4.648095478499654;COR06
2001-04-13;2001;26.35;6.158;91.2;13.61;26.16;4.1640658820937535;COR06
2001-04-14;2001;25.41;5.614;86.2;21.42;26.08;4.255687964521386;COR06
2001-04-15;2001;26.34;6.559;93.7;24.11;25.93;3.9371120142560807;COR06
2001-04-16;2001;26.82;7.37;95.9;27.62;22.93;3.8630177230710223;COR06
2001-04-17;2001;21.32;7.98;91.0;39.96;20.38;3.5349448879565823;COR06
2001-04-18;2001;22.71;9.11;94.7;34.96;23.55;3.554305396224084;COR06
2001-04-19;2001;24.4;7.37;93.7;29.5;22.75;3.84471148432298;COR06
2001-04-20;2001;24.6;13.47;88.4;29.44;23.45;4.734571590741317;COR06
2001-04-21;2001;23.73;7.71;92.4;17.05;25.49;4.27511506669477;COR06
2001-04-22;2001;25.68;4.482;91.7;27.35;25.54;4.253780827085938;COR06
2001-04-23;2001;26.68;9.51;93.6;38.12;26.08;4.5734031742455725;COR06
2001-04-24;2001;21.52;15.22;84.1;53.1;9.32;2.342260725319024;COR06
2001-04-25;2001;25.01;11.06;92.5;13.47;26.35;4.407470150024338;COR06
2001-04-26;2001;25.88;6.019;82.7;29.45;19.5;3.5191249006584653;COR06
2001-04-27;2001;25.88;9.24;89.2;20.68;25.99;4.305152008224755;COR06
2001-04-28;2001;27.61;6.356;87.5;15.08;27.91;4.528389640272467;COR06
2001-04-29;2001;26.75;8.31;92.2;25.73;24.46;4.725142369694853;COR06
2001-04-30;2001;20.11;6.019;94.0;21.09;24.07;3.999668386030738;COR06
2001-05-01;2001;18.1;6.964;94.2;29.65;24.56;3.713117893955765;COR06
2001-05-02;2001;19.05;7.96;95.5;28.58;18.97;3.3763068167364514;COR06
2001-05-03;2001;16.76;7.37;96.0;55.48;14.03;2.290582302042887;COR06
2001-05-04;2001;20.04;7.3;97.4;42.05;18.94;3.2489703510293286;COR06
2001-05-05;2001;21.85;9.78;97.0;33.48;27.29;4.424890343369231;COR06
2001-05-06;2001;19.37;8.11;97.6;51.89;13.87;2.4081552838087994;COR06
2001-05-07;2001;23.39;7.1;98.4;35.5;19.26;3.257794466296464;COR06
2001-05-08;2001;22.06;8.65;98.0;38.95;18.21;3.2501653805551367;COR06
2001-05-09;2001;20.44;9.31;93.0;44.88;13.18;2.498516460898613;COR06
2001-05-10;2001;22.59;10.32;96.5;33.09;21.52;3.66137890877708;COR06
2001-05-11;2001;27.15;7.64;98.0;19.13;27.08;4.466062440511885;COR06
2001-05-12;2001;27.07;8.97;96.3;25.53;25.07;4.796964253593923;COR06
2001-05-13;2001;24.13;12.93;89.8;26.34;19.21;3.963478183289604;COR06
2001-05-14;2001;22.59;10.72;90.8;41.1;17.0;3.5130591036224845;COR06
2001-05-15;2001;23.47;13.27;95.3;58.28;12.2;2.7623168019139834;COR06
2001-05-16;2001;29.49;10.79;97.7;28.01;27.33;5.075570375790036;COR06
2001-05-17;2001;31.69;12.81;93.1;21.61;25.97;5.050473142509362;COR06
2001-05-18;2001;30.57;13.41;94.9;32.26;15.87;3.8139977690749984;COR06
2001-05-19;2001;21.85;14.69;97.0;67.45;10.93;2.207499995067159;COR06
2001-05-20;2001;25.26;15.89;91.8;50.24;17.92;3.425403899322033;COR06
2001-05-21;2001;27.07;15.89;94.7;39.94;26.67;5.017132914039093;COR06
2001-05-22;2001;24.94;14.62;97.6;54.51;19.81;3.664526395675528;COR06
2001-05-23;2001;28.75;11.74;97.5;30.11;26.63;4.653204739091359;COR06
2001-05-24;2001;31.83;13.34;97.0;21.88;28.25;5.251550728089623;COR06
2001-05-25;2001;34.1;13.61;94.5;21.0;29.07;5.525985351562107;COR06
2001-05-26;2001;36.31;14.89;95.3;16.42;29.28;6.1990506726550265;COR06
2001-05-27;2001;35.91;15.89;79.6;21.13;29.17;5.811553149571982;COR06
2001-05-28;2001;36.51;15.36;82.9;8.41;30.88;6.765396711580741;COR06
2001-05-29;2001;36.92;12.67;86.2;10.03;30.61;6.127694090673107;COR06
2001-05-30;2001;37.05;12.66;82.7;10.97;30.03;5.902825656010737;COR06
2001-05-31;2001;36.38;14.89;68.98;17.43;29.63;6.026494054417123;COR06
2001-06-01;2001;36.18;15.76;79.4;25.3;28.29;6.081038193142498;COR06
2001-06-02;2001;37.12;15.43;83.9;17.5;28.99;6.4784615701363535;COR06
2001-06-03;2001;36.92;15.02;83.3;12.65;30.01;6.7126068374526655;COR06
2001-06-04;2001;35.3;12.66;79.3;11.44;30.67;6.337790126643598;COR06
2001-06-05;2001;36.11;11.99;79.7;8.14;30.5;6.432892151550613;COR06
2001-06-06;2001;36.78;12.93;79.4;12.85;30.11;6.1133825468305085;COR06
2001-06-07;2001;35.77;14.42;76.3;18.84;29.12;6.041578383820426;COR06
2001-06-08;2001;33.76;17.03;85.9;18.71;29.34;6.4510588819756185;COR06
2001-06-09;2001;29.94;14.28;76.5;29.49;26.1;5.636504975866532;COR06
2001-06-10;2001;28.41;16.69;94.9;33.46;23.53;4.967309036051541;COR06
2001-06-11;2001;32.28;13.41;94.9;21.0;27.47;5.8354576688354864;COR06
2001-06-12;2001;31.69;15.48;90.3;23.49;28.38;5.622178841628476;COR06
2001-06-13;2001;33.43;15.35;88.7;18.51;29.47;5.904395342565127;COR06
2001-06-14;2001;36.24;15.34;75.4;12.52;30.25;6.225578693926865;COR06
2001-06-15;2001;33.49;15.54;75.7;14.27;30.38;6.814228348483014;COR06
2001-06-16;2001;30.75;16.42;55.41;13.26;29.36;6.031513728785899;COR06
2001-06-17;2001;33.76;12.8;57.99;11.71;30.86;6.247616913149791;COR06
2001-06-20;2001;36.78;15.14;62.49;11.91;29.5;7.198914364424317;COR06
2001-06-21;2001;38.26;17.9;69.16;15.07;29.11;7.53747584540596;COR06
2001-06-22;2001;40.86;18.58;71.4;10.7;29.03;7.78538598230287;COR06
2001-06-23;2001;41.41;18.24;64.98;10.83;28.14;7.387276466524884;COR06
2001-06-24;2001;36.51;21.25;56.06;23.35;26.03;8.116542208668085;COR06
2001-06-25;2001;34.58;17.57;81.0;31.36;28.65;7.7203747852249185;COR06
2001-06-26;2001;33.24;18.56;86.0;14.41;25.87;7.603566967698987;COR06
2001-06-27;2001;32.16;15.81;77.4;18.38;29.4;7.513089447647197;COR06
2001-06-28;2001;35.37;15.63;77.1;13.59;29.96;6.740967819338668;COR06
2001-06-29;2001;37.32;16.96;65.18;14.67;27.72;6.879756913822275;COR06
2001-06-30;2001;39.48;18.17;62.62;11.98;29.39;7.859819427452179;COR06
2001-07-01;2001;38.99;18.24;53.66;12.99;29.38;8.238978448723874;COR06
2001-07-02;2001;38.26;19.77;57.84;12.31;28.07;7.960806636856928;COR06
2001-07-03;2001;35.04;19.1;70.5;29.48;27.09;8.276069237725968;COR06
2001-07-04;2001;33.11;18.69;80.9;20.87;26.4;7.858608828855539;COR06
2001-07-05;2001;30.08;14.41;64.72;22.96;29.59;7.485646304389286;COR06
2001-07-06;2001;27.81;15.75;74.7;32.86;27.39;6.430497989437049;COR06
2001-07-07;2001;32.16;15.28;88.2;21.41;29.71;6.724653226639037;COR06
2001-07-08;2001;33.58;16.62;79.1;22.62;27.12;7.320040687736586;COR06
2001-07-09;2001;33.1;16.35;77.2;23.7;28.53;7.552337936820276;COR06
2001-07-10;2001;37.73;17.3;85.7;11.57;29.62;6.6155386208578655;COR06
2001-07-11;2001;40.79;19.78;61.12;13.39;28.97;6.960597611123183;COR06
2001-07-12;2001;39.46;20.11;60.24;17.9;27.56;8.504916561579929;COR06
2001-07-13;2001;40.27;20.04;69.07;12.45;28.37;9.068199201204695;COR06
2001-07-14;2001;34.78;19.12;60.02;21.2;27.8;8.421805040666067;COR06
2001-07-15;2001;31.15;19.5;71.5;27.67;23.39;6.551118940632964;COR06
2001-07-16;2001;33.78;16.22;74.8;10.57;28.33;8.114981072716041;COR06
2001-07-17;2001;36.85;14.75;65.88;17.43;29.73;7.825215442547328;COR06
2001-07-18;2001;32.64;17.9;67.68;12.59;29.95;8.386108282864432;COR06
2001-07-19;2001;30.89;15.88;53.05;15.21;29.71;7.071923317276112;COR06
2001-07-20;2001;34.44;18.11;48.26;10.5;29.88;8.034478308738992;COR06
2001-07-21;2001;35.73;16.56;71.1;10.5;20.24;5.887793102383259;COR06
2001-07-22;2001;40.0;20.24;56.2;12.92;23.52;7.544920641193465;COR06
2001-07-23;2001;38.53;22.33;59.1;15.88;27.49;9.485715451776894;COR06
2001-07-24;2001;34.11;18.37;66.72;17.57;28.75;8.875951916793962;COR06
2001-07-25;2001;33.91;16.22;82.0;20.13;28.42;7.616240509522967;COR06
2001-07-26;2001;35.37;16.56;79.7;20.06;28.47;7.514233541505302;COR06
2001-07-27;2001;34.31;16.89;79.5;18.58;26.81;7.212284732966652;COR06
2001-07-28;2001;35.04;16.89;84.9;19.72;24.46;6.5699528786254655;COR06
2001-07-29;2001;34.63;16.76;72.1;24.97;26.15;6.47586568533262;COR06
2001-07-30;2001;34.88;22.66;75.9;21.55;7.05;5.171196548303753;COR06
2001-08-02;2001;33.77;20.24;79.6;29.89;25.36;6.9158798030326105;COR06
2001-08-03;2001;37.79;19.23;80.9;12.05;28.16;7.247422986093912;COR06
2001-08-04;2001;39.06;19.43;55.17;13.12;27.4;7.156322673997392;COR06
2001-08-05;2001;39.73;17.09;53.86;10.5;28.58;6.9888497043877065;COR06
2001-08-06;2001;40.93;19.45;72.2;10.02;27.84;6.697083767855662;COR06
2001-08-07;2001;40.06;21.72;80.9;14.47;26.25;7.835563128279317;COR06
2001-08-08;2001;39.39;19.25;56.61;11.51;28.11;7.7658672341469375;COR06
2001-08-09;2001;38.39;19.58;52.04;17.5;27.49;7.800358000576002;COR06
2001-08-10;2001;38.65;19.38;71.7;17.9;26.59;7.4984884517820785;COR06
2001-08-11;2001;35.98;22.6;81.5;27.99;22.92;6.102247243061743;COR06
2001-08-12;2001;37.66;21.86;76.8;22.88;25.78;7.060751690055929;COR06
2001-08-13;2001;38.67;22.12;72.1;21.94;23.17;7.055007963821107;COR06
2001-08-14;2001;35.44;22.58;80.9;31.56;25.03;7.338545265936728;COR06
2001-08-15;2001;34.57;21.44;73.3;19.45;25.85;8.309781248162277;COR06
2001-08-16;2001;34.1;21.18;73.2;25.58;24.02;7.1131097834035;COR06
2001-08-17;2001;32.03;14.96;83.6;14.61;26.38;6.552718834276062;COR06
2001-08-18;2001;33.83;14.96;75.3;20.73;25.37;6.4417945175088445;COR06
2001-08-19;2001;34.7;17.77;80.2;15.88;25.88;6.6623527085758365;COR06
2001-08-20;2001;38.13;15.15;75.0;10.57;25.4;5.957809321450571;COR06
2001-08-21;2001;36.58;18.64;65.25;18.24;26.05;6.7039001413671295;COR06
2001-08-22;2001;39.93;16.16;68.55;11.3;25.38;6.481962462791675;COR06
2001-08-23;2001;40.32;19.37;62.07;14.8;24.55;6.674664066714599;COR06
2001-08-24;2001;42.88;20.51;59.1;11.03;21.74;7.603980110401381;COR06
2001-08-25;2001;36.25;24.13;65.61;20.26;13.48;5.372596390257887;COR06
2001-08-26;2001;34.63;21.32;69.34;28.74;21.61;6.336290045859406;COR06
2001-08-27;2001;36.86;19.84;75.9;22.28;21.75;6.819943770647432;COR06
2001-08-28;2001;32.7;21.99;69.13;26.32;23.84;6.987739790547327;COR06
2001-08-29;2001;32.7;19.84;85.0;29.35;24.4;6.481023839523374;COR06
2001-08-30;2001;33.16;17.43;85.6;24.5;24.14;6.213077419724479;COR06
2001-08-31;2001;34.31;17.03;86.5;17.84;21.24;5.270981024383738;COR06
2001-09-01;2001;35.5;17.9;72.9;20.32;23.46;5.9183335743295045;COR06
2001-09-02;2001;34.9;18.57;71.7;25.5;22.57;5.9919976719999415;COR06
2001-09-03;2001;35.58;20.92;75.0;26.65;19.33;4.8140980428205165;COR06
2001-09-04;2001;34.57;20.85;81.7;24.5;22.46;6.054378475753123;COR06
2001-09-05;2001;34.04;19.37;83.9;34.53;21.96;6.329831478264737;COR06
2001-09-06;2001;31.15;18.97;84.5;25.18;22.0;6.008241155862522;COR06
2001-09-07;2001;33.65;19.03;78.4;21.07;21.43;5.0609658411764284;COR06
2001-09-08;2001;35.3;18.78;74.8;18.51;22.64;4.899114852843869;COR06
2001-09-09;2001;36.72;16.96;59.66;13.73;23.49;5.697651577444744;COR06
2001-09-10;2001;32.43;17.36;80.4;32.58;21.93;5.975117097389145;COR06
2001-09-11;2001;32.84;18.83;84.9;22.01;20.44;6.5325167255213925;COR06
2001-09-12;2001;32.5;16.35;85.5;22.96;20.64;5.760379312961903;COR06
2001-09-13;2001;33.7;15.61;80.5;19.59;21.57;5.018131154427619;COR06
2001-09-14;2001;33.97;14.55;82.5;19.05;21.07;4.833849892905468;COR06
2001-09-15;2001;34.97;15.9;79.7;20.06;21.23;4.731209841839017;COR06
2001-09-16;2001;35.37;20.18;78.2;22.81;19.88;5.5378860276292405;COR06
2001-09-17;2001;31.09;21.12;79.4;40.66;15.95;5.442910296755249;COR06
